"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Jacob deGrom","NYM","47","31","0","122","122","782.1","11.65","2.05","0.81",".282","80.4%","45.0%","11.3%","97.0","2.35","","2.49","2.77","27.6","10954"
"Max Scherzer","- - -","65","28","0","133","133","840.1","12.20","2.12","1.03",".277","81.0%","35.9%","11.1%","94.6","2.69","","2.80","3.15","27.6","3137"
"Gerrit Cole","- - -","70","33","0","140","140","870.0","11.74","2.33","1.21",".288","78.6%","41.2%","14.4%","97.0","3.18","","3.15","3.09","23.5","13125"
"Aaron Nola","PHI","55","38","0","138","138","834.2","10.31","2.68","1.05",".289","75.6%","47.9%","14.0%","93.0","3.54","","3.40","3.39","19.9","16149"
"Zack Wheeler","- - -","44","34","0","120","120","748.1","9.08","2.49","0.84",".299","73.7%","47.0%","11.0%","96.7","3.51","","3.32","3.66","18.3","10310"
"Chris Sale","BOS","40","24","0","93","93","562.1","13.04","2.02","1.04",".304","76.4%","42.0%","13.7%","94.6","3.09","","2.66","2.68","18.2","10603"
"Charlie Morton","- - -","61","24","0","130","130","732.0","10.60","2.94","0.82",".290","74.4%","48.3%","12.2%","95.4","3.34","","3.25","3.42","17.4","4676"
"Justin Verlander","- - -","53","23","0","102","102","649.0","11.32","2.11","1.29",".254","84.0%","33.1%","13.0%","95.0","2.82","","3.31","3.44","17.1","8700"
"Zack Greinke","- - -","64","32","0","139","139","854.1","8.27","1.72","1.15",".277","76.0%","45.0%","13.6%","89.7","3.38","","3.62","3.66","16.5","1943"
"Clayton Kershaw","LAD","59","24","0","113","113","693.2","9.74","1.67","1.18",".268","81.1%","48.5%","15.7%","91.3","2.80","","3.31","3.12","16.0","2036"
"Trevor Bauer","- - -","53","37","0","120","120","740.2","10.98","3.07","1.17",".288","77.6%","40.6%","13.5%","94.3","3.35","","3.61","3.69","16.0","12703"
"Lance Lynn","- - -","53","38","0","136","136","785.0","9.36","3.23","1.07",".286","75.8%","42.3%","11.8%","93.9","3.62","","3.84","4.14","16.0","2520"
"German Marquez","COL","53","40","0","135","135","793.2","9.08","2.61","1.19",".305","71.1%","48.5%","16.0%","95.3","4.25","","3.84","3.61","15.6","15038"
