"Name","Team","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","FIP","playerid"
"Jacob deGrom","NYM","52.1%","96.6","27.7%","91.4","","","5.7%","82.3","14.4%","89.5","","","","","0.2%","2.49","10954"
"Max Scherzer","- - -","48.4%","94.5","21.0%","85.8","7.1%","89.6","8.6%","77.7","14.9%","84.5","","","","","0.2%","2.80","3137"
"Walker Buehler","LAD","57.2%","96.1","13.7%","86.2","13.3%","92.1","13.0%","80.5","2.8%","91.1","","","","","0.1%","3.13","19374"
"Clayton Kershaw","LAD","42.5%","91.3","40.4%","87.7","","","16.4%","73.5","0.7%","85.7","","","","","","3.31","2036"
"Justin Verlander","- - -","56.5%","95.0","24.2%","87.4","0.2%","91.3","15.9%","79.9","3.3%","87.3","","","","","0.1%","3.31","8700"
"Mike Clevinger","- - -","51.6%","93.9","22.6%","80.5","0.6%","88.0","11.9%","76.3","13.3%","87.3","","","","","0.1%","3.35","12808"
"Corey Kluber","- - -","39.8%","92.0","","","26.8%","88.5","25.5%","83.6","7.8%","85.2","","","","","0.1%","3.06","2429"
"Chris Sale","BOS","48.7%","94.1","34.7%","79.4","","","","","16.6%","86.3","","","","","0.1%","2.66","10603"
"Luis Severino","NYY","51.1%","97.6","35.3%","88.1","","","","","13.6%","87.7","","","","","","2.99","15890"
"Hyun-Jin Ryu","- - -","37.5%","90.2","3.0%","83.0","20.3%","86.6","13.9%","72.9","25.4%","80.3","","","","","0.2%","3.66","14444"
"Gerrit Cole","- - -","54.6%","96.8","20.9%","88.7","","","15.8%","82.5","8.7%","89.0","","","","","0.0%","3.15","13125"
"Shane Bieber","CLE","44.8%","93.2","23.4%","84.9","3.1%","89.2","22.5%","82.6","6.3%","87.9","","","","","0.0%","2.99","19427"
"Stephen Strasburg","WSN","50.5%","94.5","4.4%","88.9","","","25.3%","81.5","19.7%","88.1","","","","","0.5%","3.29","10131"
"Chris Bassitt","OAK","58.5%","93.1","11.3%","84.0","11.3%","88.2","10.2%","70.8","8.8%","84.8","","","","","0.0%","3.87","12304"
"Brandon Woodruff","MIL","62.5%","96.1","14.7%","87.4","","","8.2%","83.6","14.6%","86.4","","","","","0.1%","3.23","16162"
"Charlie Morton","- - -","52.7%","95.0","","","9.1%","87.0","33.3%","79.7","5.0%","86.4","","","","","0.1%","3.25","4676"
"Max Fried","ATL","54.2%","93.6","17.3%","84.3","","","24.9%","74.5","3.6%","84.1","","","","","0.2%","3.47","13743"
"Trevor Bauer","- - -","45.1%","94.2","12.4%","81.1","14.2%","85.7","22.2%","79.0","5.7%","86.8","0.3%","85.6","","","0.1%","3.61","12703"
"Jack Flaherty","STL","56.9%","93.4","28.3%","84.2","","","12.1%","77.5","2.7%","86.0","","","","","0.2%","3.85","17479"
"Zack Greinke","- - -","47.3%","89.7","17.8%","83.8","","","14.7%","71.4","20.3%","86.8","","","","","0.1%","3.62","1943"
"Blake Snell","- - -","51.8%","95.2","13.6%","86.9","","","16.7%","80.6","17.8%","87.1","","","","","0.2%","3.59","13543"
"Rich Hill","- - -","53.4%","88.9","4.7%","71.9","2.3%","84.1","38.5%","73.4","0.3%","83.3","0.8%","80.5","","","0.3%","4.03","4806"
"Sandy Alcantara","MIA","54.6%","96.5","23.2%","88.0","","","5.2%","82.1","17.0%","90.8","","","","","0.3%","4.01","18684"
"Marcus Stroman","- - -","49.1%","92.7","16.2%","86.2","13.8%","90.8","13.1%","84.3","7.9%","85.1","","","","","0.2%","3.74","13431"
"Zack Wheeler","- - -","60.3%","96.3","20.8%","90.8","","","10.8%","80.2","5.2%","88.9","2.9%","89.7","","","0.2%","3.32","10310"
"Aaron Nola","PHI","49.7%","92.5","","","0.4%","86.8","30.7%","78.4","19.2%","85.0","","","","","0.3%","3.40","16149"
"Miles Mikolas","STL","49.9%","93.7","24.9%","87.6","","","21.0%","78.3","2.7%","87.5","1.6%","89.0","","","0.3%","3.82","9803"
"Frankie Montas","OAK","60.6%","96.2","22.3%","87.9","","","","","0.5%","87.7","16.7%","87.3","","","0.1%","3.55","14309"
"Gio Gonzalez","- - -","55.4%","89.7","","","0.0%","84.0","21.6%","75.3","23.0%","82.8","","","","","0.3%","4.09","7448"
"Kyle Hendricks","CHC","61.3%","86.8","","","","","10.0%","72.3","28.7%","79.1","","","","","0.3%","3.99","12049"
"Lance Lynn","- - -","72.8%","93.2","17.5%","88.4","","","6.9%","80.9","1.4%","84.7","1.3%","87.5","","","0.2%","3.84","2520"
"Alex Wood","- - -","46.7%","91.1","9.3%","84.0","","","19.2%","82.7","24.8%","84.6","","","","","0.6%","3.73","13781"
"James Paxton","- - -","62.6%","95.3","","","15.2%","88.4","20.2%","80.9","1.9%","85.1","","","","","0.0%","3.30","11828"
"Robbie Ray","- - -","56.2%","93.8","27.2%","85.9","","","15.5%","82.3","1.0%","87.5","","","","","0.3%","4.15","11486"
"Carlos Rodon","CHW","58.5%","93.7","27.9%","85.2","","","0.6%","76.8","12.9%","84.7","","","","","0.1%","3.94","16137"
"Noah Syndergaard","NYM","56.3%","97.6","17.8%","90.8","","","9.7%","81.9","16.2%","90.7","","","","","0.4%","3.12","11762"
"Carlos Carrasco","- - -","46.2%","93.7","23.7%","85.3","0.0%","90.0","11.6%","82.6","18.5%","88.0","","","","","0.3%","3.44","6632"
"Luis Castillo","CIN","54.2%","96.7","16.7%","85.5","","","","","29.0%","87.5","","","","","0.2%","3.76","15689"
"Dallas Keuchel","- - -","49.6%","88.6","13.5%","78.4","18.7%","85.8","","","18.2%","79.3","","","","","0.1%","4.16","9434"
"Lance McCullers Jr.","HOU","37.5%","94.1","8.7%","86.0","1.4%","88.7","38.0%","85.1","14.5%","87.0","","","","","0.0%","3.45","14120"
"Jose Berrios","- - -","57.6%","93.4","","","","","29.9%","82.0","12.5%","83.8","","","","","0.0%","3.79","14168"
"Taijuan Walker","- - -","57.5%","93.8","17.2%","86.1","0.8%","87.9","10.1%","75.8","6.5%","88.4","7.9%","89.3","","","0.3%","4.36","11836"
"John Means","BAL","49.9%","92.5","11.4%","84.8","","","11.3%","77.9","27.5%","82.5","","","","","","4.68","16269"
"Sonny Gray","- - -","48.6%","93.0","17.5%","84.3","5.1%","91.1","21.7%","81.0","7.1%","89.8","","","","","0.1%","3.78","12768"
"Yu Darvish","- - -","38.9%","94.3","20.1%","82.4","27.9%","87.2","7.6%","75.7","1.4%","88.2","4.1%","89.8","","","0.1%","3.82","13074"
"David Price","- - -","51.3%","92.9","","","23.3%","88.7","3.3%","79.4","22.1%","85.0","","","","","","3.87","3184"
